mz,PS-001_pos.mzML,PS-002_pos.mzML,PS-003_pos.mzML,PS-004_pos.mzML,PS-005_pos.mzML,PS-006_pos.mzML,mzTrim,control_mean,treatment_mean
465.202682346544,5954102.0,5609042.0,4591642.0,4058594.0,5855769.0,4317673.0,465.2026,5384929,4744012
175.09752611540364,2830049.0,2153178.0,771359.1,1565723.0,74612.53,3107060.0,175.0975,1918195,1582465
654.9700435205744,49392880.0,296079800.0,161723600.0,73962060.0,121722600.0,105152800.0,654.97,169065427,100279153
377.1451021910966,19495020.0,16599770.0,35700670.0,40529120.0,36151690.0,27369920.0,377.1451,23931820,34683576
175.09795240650217,2881935.0,1978238.0,224832.6,4255453.0,831457.9,7113606.0,175.0979,1695002,4066838
348.19382760653,386375.5,340879.3,262365.1,86159.34,864769.2,174584.8,348.1938,329873,375171
522.3545780555564,53088570.0,48293150.0,45215340.0,45266850.0,69158910.0,45208190.0,522.3545,48865687,53211316
410.2789618891887,66945810.0,54366000.0,47695050.0,50728860.0,34747420.0,38780270.0,410.2789,56335620,41418850
210.13774651236952,1406487.0,638811.2,1341065.0,1978452.0,852238.8,818497.8,210.1377,1128788,1216396
239.16388799164164,29144220.0,19993110.0,19936760.0,8614540.0,10213770.0,8498494.0,239.1638,23024697,9108934
707.1594134179676,4299623.0,465789.1,7404833.0,4163619.0,1029269.0,3338660.0,707.1594,4056748,2843849
455.1479599151328,15984.27,280812.7,106069.9,10781.42,46183.81,297361.9,455.1479,134289,118109
977.6166268276828,65677.46,37679.43,131619.8,112359.4,173908.9,101287.2,977.6166,78326,129185
397.21080157976616,9330854.0,12437020.0,16295570.0,11906700.0,15190250.0,11957110.0,397.2108,12687815,13018020
424.2581341238961,14996090.0,12513460.0,12490170.0,11296200.0,10606850.0,9216504.0,424.2581,13333240,10373184
298.1786641371013,46985670.0,35047570.0,34937580.0,35483290.0,30619320.0,30017360.0,298.1786,38990273,32039990
727.4904289589887,20908.3,22933.8,41906.79,54968.08,88170.4,95524.13,727.4904,28583,79554
774.5403352542131,38126100.0,36721100.0,42055840.0,44056650.0,72426010.0,64878210.0,774.5403,38967680,60453623
500.3035016221595,368702.5,227672.0,416797.6,513025.2,557222.7,483185.8,500.3035,337724,517811
712.9280065605368,30837020.0,117024100.0,114134000.0,44634410.0,83029530.0,68876320.0,712.928,87331707,65513420
776.5555004225467,42537210.0,41741350.0,53270910.0,51280510.0,79017150.0,65924320.0,776.5555,45849823,65407326
471.2475610861424,39556.74,59315.63,54456.81,236960.3,138002.7,150505.8,471.2475,51110,175156
752.5186357105409,537870.9,421038.3,392742.7,698426.6,971937.2,1468570.0,752.5186,450551,1046311
755.5196496960813,182503.6,185950.2,265995.4,272195.4,524128.0,507333.0,755.5196,211483,434552
474.2309745966547,2161977.0,1715510.0,1361076.0,1804909.0,1367035.0,1537835.0,474.2309,1746188,1569926
393.15849802046336,18508060.0,31562460.0,81929270.0,30435390.0,67170140.0,36931750.0,393.1584,43999930,44845760
411.1110852898634,27592600.0,20915040.0,13096340.0,11269460.0,11305850.0,9182330.0,411.111,20534660,10585880
88.0755078177084,38470140.0,25466990.0,50630000.0,39699780.0,57387290.0,48173620.0,88.0755,38189043,48420230
495.3317535987592,18831160.0,14880220.0,15917080.0,14871920.0,12285440.0,13257610.0,495.3317,16542820,13471656
269.1243254111129,220232.7,76278.16,94932.57,413707.2,144887.0,1245620.0,269.1243,130481,601404
489.2130419971263,5464767.0,4877391.0,14840080.0,3187669.0,11598710.0,3571868.0,489.213,8394079,6119415
699.4065048366537,218483.8,168678.2,220414.8,153202.6,167451.8,184504.0,699.4065,202526,168386
